"","SCV_AUCs"
"Replicate1","0.93086"
"Replicate2","0.9259"
"Replicate3","0.92802"
"Replicate4","0.94248"
"Replicate5","0.94254"
"Replicate6","0.94444"
"Replicate7","0.93998"
"Replicate8","0.93356"
"Replicate9","0.9274"
"Replicate10","0.93378"
"Replicate11","0.9274"
"Replicate12","0.9231"
"Replicate13","0.92856"
"Replicate14","0.92978"
"Replicate15","0.93298"
"Replicate16","0.94182"
"Replicate17","0.94394"
"Replicate18","0.92904"
"Replicate19","0.93502"
"Replicate20","0.92498"
"Replicate21","0.91128"
"Replicate22","0.9181"
"Replicate23","0.9255"
"Replicate24","0.9498"
"Replicate25","0.93416"
"Replicate26","0.93414"
"Replicate27","0.93286"
"Replicate28","0.9379"
"Replicate29","0.94396"
"Replicate30","0.92524"
"Replicate31","0.92452"
"Replicate32","0.93218"
"Replicate33","0.93508"
"Replicate34","0.91568"
"Replicate35","0.93088"
"Replicate36","0.93184"
"Replicate37","0.94378"
"Replicate38","0.93832"
"Replicate39","0.93384"
"Replicate40","0.93258"
"Replicate41","0.91352"
"Replicate42","0.9397"
"Replicate43","0.9274"
"Replicate44","0.9275"
"Replicate45","0.94346"
"Replicate46","0.929"
"Replicate47","0.93236"
"Replicate48","0.92122"
"Replicate49","0.93066"
"Replicate50","0.92872"
"Replicate51","0.93342"
"Replicate52","0.93876"
"Replicate53","0.9067"
"Replicate54","0.93344"
"Replicate55","0.93172"
"Replicate56","0.93412"
"Replicate57","0.93498"
"Replicate58","0.92304"
"Replicate59","0.93696"
"Replicate60","0.92472"
"Replicate61","0.92772"
"Replicate62","0.9331"
"Replicate63","0.92544"
"Replicate64","0.93074"
"Replicate65","0.92174"
"Replicate66","0.93138"
"Replicate67","0.94068"
"Replicate68","0.9308"
"Replicate69","0.92838"
"Replicate70","0.93644"
"Replicate71","0.942"
"Replicate72","0.94512"
"Replicate73","0.9385"
"Replicate74","0.92936"
"Replicate75","0.93094"
"Replicate76","0.93534"
"Replicate77","0.9447"
"Replicate78","0.93246"
"Replicate79","0.9488"
"Replicate80","0.93916"
"Replicate81","0.93188"
"Replicate82","0.9396"
"Replicate83","0.94072"
"Replicate84","0.9373"
"Replicate85","0.92344"
"Replicate86","0.91234"
"Replicate87","0.91222"
"Replicate88","0.90636"
"Replicate89","0.92462"
"Replicate90","0.9199"
"Replicate91","0.92986"
"Replicate92","0.94348"
"Replicate93","0.93544"
"Replicate94","0.94382"
"Replicate95","0.91062"
"Replicate96","0.9286"
"Replicate97","0.93624"
"Replicate98","0.9428"
"Replicate99","0.91992"
"Replicate100","0.93236"
"Mean","0.932 [0.93-0.933]"
